	frame	|		entx		|		enty
————————————————————————————————————————————————————————————————————————————————
	1	|	2.600767335984211	|	2.671890329059204
	2	|	2.4317586577213213	|	2.4691576250213485
	3	|	2.915242419656562	|	2.69983744574333
	4	|	2.832600243072561	|	2.575084064562061
	5	|	2.843273069750298	|	2.4848709012182146
	6	|	2.823956073616059	|	2.577234405775669
	7	|	2.8162573504814987	|	2.3873507332455794
	8	|	2.8436766599616363	|	2.6397894362376726
	9	|	2.825879678044272	|	2.5987198673411593
	10	|	2.824018040746766	|	2.7671356021572384
	11	|	2.7426668439750514	|	2.737790188951196
	12	|	2.594748726518524	|	2.3826010066401473
	13	|	2.7986240237085065	|	2.806928042983658
	14	|	2.5020154973068047	|	2.8302648402228194
	15	|	2.3834458732220947	|	2.9485373070050005
	16	|	2.2612223877334694	|	3.0346424554836458
	17	|	2.384897058451908	|	3.03228781743993
	18	|	2.3260094682354513	|	3.024367123304269
	19	|	2.4242457231087116	|	3.009496536386766
	20	|	2.4087167457827947	|	2.9843048361876203
	21	|	2.457359724516554	|	3.025917480364879
	22	|	2.5690611517688295	|	2.992038236595538
	23	|	2.528598655861908	|	2.9873874593053387
	24	|	2.5283461180113727	|	2.8115774988459887
	25	|	2.379471440561204	|	2.7994255343960663
	26	|	2.2547917376480204	|	2.557863862066388
	27	|	2.2977092182898526	|	2.6735012237545908
	28	|	2.2207655624534914	|	2.7871347193238893
	29	|	2.277369793661597	|	2.7060275148175856
	30	|	2.598958739278176	|	2.6963039648664053
	31	|	2.5795016673418583	|	2.870701525552839
	32	|	2.3695770292433815	|	2.672716563552128
	33	|	2.449051939629432	|	2.7201799646788047
	34	|	2.6038909947724074	|	2.7587963862208604
	35	|	2.4266836851035216	|	2.7984294986151843
	36	|	2.349185737922428	|	2.5583528327979517
	37	|	2.350480053247774	|	2.6043904442088115
	38	|	2.4707100458245876	|	2.6087460282855415
	39	|	2.431803942056544	|	2.7015127470762317
	40	|	2.8172606451407405	|	2.4530820691960313
	41	|	2.494905403013882	|	2.6640288195415733
	42	|	2.640861184740367	|	2.3999484761251
	43	|	2.6159223344777676	|	2.8713918487729364
	44	|	2.5690586646791904	|	2.817388516826945
	45	|	2.663571641421491	|	2.7878883115939215
	46	|	2.805867340603056	|	2.8191544063840874
	47	|	2.8165423163709096	|	2.8394652933825726
	48	|	2.6502225374336077	|	2.7811816963866827
	49	|	2.810841901455427	|	2.7676312389861293
	50	|	2.50727472635344	|	2.8429005866872954
	51	|	2.5408582932816492	|	2.763089857316531
	52	|	2.5194635843570707	|	2.7579931447761012
	53	|	2.5392052324192855	|	2.760309799191873
	54	|	2.2811828185522334	|	2.7225441203121337
	55	|	2.769717598475837	|	2.6696679520990187
	56	|	2.8858753963476897	|	2.6235857759098478
	57	|	2.8727857691790404	|	2.6960299629267412
	58	|	2.9238065296211215	|	2.5787705100291003
	59	|	2.953858000235856	|	2.4201197451653864
	60	|	2.931820185382673	|	2.4114344703519386
	61	|	2.6821222465338206	|	2.285779679719935
	62	|	2.6710351211829564	|	2.250879839984485
	63	|	2.6447281457645224	|	2.4668629634283614
	64	|	2.593377601779656	|	2.2444449144163885
	65	|	2.627931726926133	|	2.1929895294387522
	66	|	2.5422387274532796	|	1.9750546640817646
	67	|	2.4747234664495803	|	1.7405968733256048
